7.38856,0.00194365,20.7169,67.3,936
2.00319,0.00173018,18.994,78.5,531
8.8959,0.00192818,23.8612,68.5,670
135.44,0.00904234,51.5832,90.8,49361
2.68228,0.00208683,28.1962,69.4,722
2.17316,0.00168848,25.556,76.1,476
4.17466,0.00257866,31.338,74.9,758
2.24946,0.00169815,19.4912,77.7,565
120.424,0.0166438,274607,62.5,28782
8.52074,0.0018679,15.644,66.7,2349
13.2066,0.0078343,63.7815,76.8,995
2.04663,0.00155409,24.2188,71.5,594
3.21849,0.0167699,114.144,86,521
5.80459,0.00139489,22.1935,80.4,777
3.23882,0.00131036,13.6994,72.2,592
5.78475,0.00160393,16.2946,68.5,964
23.2266,0.00288727,22.3865,68.5,4460
1.60311,0.00135789,18.0405,78.4,505
1.53939,0.00150631,21.2286,74.8,530
13.6704,0.00167242,22.8769,70.4,1795
2.72898,0.00147436,18.6506,67.6,749
1.70417,0.00145915,24.5649,84.2,551
2.89498,0.00163554,19.8243,72.5,723
6.60952,0.00268621,32.712,73.1,1148
10.6399,0.00160779,17.898,70.6,2102
7.18838,0.00594301,60.8956,73.2,651
0.923296,0.00186457,24.2179,94.8,352
6.59272,0.00215154,18.773,66.9,1614
1.27403,0.00289486,32.1161,80.8,559
28.2701,0.00262277,18.9293,65.7,7802
17.9791,0.00190634,13.5141,71,5540
2.80364,0.00196834,26.9281,77.2,479
12.561,0.00154045,15.1087,76.1,960
2.52683,0.00164231,20.0252,73.9,572
6.14605,0.00162146,18.0675,69.4,772
120.06,0.00454655,23.0839,73,34808
